run	fitness	noise_removal	signal_preservation	phase_coherence	speed	consciousness	encoding_entropy	transfer_score	frequency_transfer	online_retention	catastrophic_forgetting	temporal_separation	carrier_emergence	xi_robustness_v2	total_ms
L5	0.167204	1.0000	1.0000	0.5504	0.7226	0.8427	1.0000	0.714687	0.9969	1.0000	1.0000	1.0000	0.5684	0.6073	81950
L5	0.170122	1.0000	1.0000	0.5504	0.7234	0.8427	1.0000	0.725455	0.9877	1.0000	1.0000	1.0000	0.5684	0.5831	113451
L5	0.210054	1.0000	1.0000	0.9701	0.9885	0.9725	1.0000	0.776836	0.9976	1.0000	1.0000	1.0000	0.4966	0.1718	12885
L5	0.191068	1.0000	1.0000	0.5440	0.8964	0.8297	1.0000	0.687542	0.9846	1.0000	1.0000	1.0000	0.2761	0.6471	53476
L5	0.146145	1.0000	1.0000	0.5504	0.8555	0.8427	1.0000	0.643461	0.9865	1.0000	1.0000	1.0000	0.5684	0.7993	62732
L5	0.198763	1.0000	1.0000	0.6256	0.8562	0.8661	1.0000	0.716320	0.9967	1.0000	1.0000	1.0000	0.4326	0.4445	50934
L5	0.167357	1.0000	1.0000	0.5047	0.7882	0.7739	1.0000	0.681507	0.9986	1.0000	1.0000	1.0000	0.8534	0.4551	67317
L5	0.203021	1.0000	1.0000	0.4729	0.7600	0.7876	1.0000	0.618104	0.9988	1.0000	1.0000	1.0000	0.8641	0.2805	48355
L5	0.105242	1.0000	1.0000	0.5809	0.8528	0.8433	1.0000	0.561025	1.0000	1.0000	1.0000	1.0000	0.8443	0.9578	65141
L5	0.155038	1.0000	1.0000	0.9701	0.9884	0.9725	1.0000	0.820399	1.0000	1.0000	1.0000	1.0000	0.8032	0.2891	10151
L5	0.069373	1.0000	1.0000	0.9701	0.9887	0.9725	1.0000	0.820399	1.0000	1.0000	1.0000	1.0000	0.8032	0.8601	9861
L5	0.153736	1.0000	1.0000	0.4904	0.8736	0.7838	1.0000	0.383512	0.9995	1.0000	1.0000	1.0000	0.6526	0.9599	25988
L5	0.220820	1.0000	1.0000	0.4904	0.8730	0.7838	1.0000	0.383512	0.9995	1.0000	1.0000	1.0000	0.6526	0.5128	26378
L5	0.240809	1.0000	1.0000	0.6564	0.9540	0.9195	1.0000	0.514669	0.9996	1.0000	1.0000	1.0000	0.7484	0.1190	29856
